time,gFx,gFy,gFz,TgF
0.007000,-0.0436,0.9817,0.2162,1.006
0.008000,-0.0340,0.9761,0.2067,0.998
0.029000,-0.0309,0.9739,0.2001,0.995
0.031000,-0.0335,0.9743,0.1970,0.995
0.050000,-0.0360,0.9754,0.1946,0.995
0.051000,-0.0386,0.9760,0.1957,0.996
0.053000,-0.0375,0.9771,0.2055,0.999
0.069000,-0.0360,0.9767,0.2169,1.001
0.085000,-0.0342,0.9744,0.2256,1.001
0.087000,-0.0362,0.9726,0.2278,1.000
0.101000,-0.0380,0.9729,0.2270,1.000
0.103000,-0.0370,0.9734,0.2224,0.999
0.116000,-0.0344,0.9723,0.2169,0.997
0.131000,-0.0346,0.9722,0.2124,0.996
0.132000,-0.0358,0.9721,0.2067,0.994
0.143000,-0.0371,0.9722,0.1979,0.993
0.151000,-0.0371,0.9728,0.1885,0.992
0.161000,-0.0385,0.9736,0.1838,0.992
0.171000,-0.0417,0.9740,0.1820,0.992
0.181000,-0.0420,0.9729,0.1825,0.991
0.203000,-0.0419,0.9726,0.1893,0.992
0.205000,-0.0388,0.9720,0.1992,0.993
0.219000,-0.0357,0.9728,0.2108,0.996
0.237000,-0.0341,0.9725,0.2176,0.997
0.238000,-0.0308,0.9694,0.2151,0.993
0.253000,-0.0291,0.9678,0.2058,0.990
0.254000,-0.0293,0.9675,0.1970,0.988
0.270000,-0.0311,0.9678,0.1886,0.987
0.272000,-0.0362,0.9690,0.1818,0.987
0.286000,-0.0421,0.9697,0.1780,0.987
0.304000,-0.0439,0.9704,0.1792,0.988
0.306000,-0.0430,0.9708,0.1862,0.989
0.320000,-0.0390,0.9719,0.1980,0.993
0.338000,-0.0353,0.9717,0.2057,0.994
0.340000,-0.0348,0.9703,0.2046,0.992
0.341000,-0.0340,0.9693,0.1994,0.990
0.354000,-0.0309,0.9682,0.1936,0.988
0.372000,-0.0300,0.9677,0.1890,0.986
0.374000,-0.0324,0.9683,0.1831,0.986
0.385000,-0.0357,0.9693,0.1807,0.987
0.391000,-0.0375,0.9704,0.1812,0.988
0.411000,-0.0375,0.9708,0.1843,0.989
0.412000,-0.0359,0.9720,0.1880,0.991
0.424000,-0.0343,0.9729,0.1921,0.992
0.431000,-0.0330,0.9722,0.1965,0.992
0.441000,-0.0315,0.9695,0.1962,0.990
0.453000,-0.0300,0.9686,0.1921,0.988
0.462000,-0.0307,0.9700,0.1879,0.989
0.472000,-0.0331,0.9717,0.1869,0.990
0.482000,-0.0357,0.9728,0.1888,0.992
0.495000,-0.0369,0.9731,0.1902,0.992
0.512000,-0.0387,0.9749,0.1929,0.995
0.514000,-0.0406,0.9760,0.1974,0.997
0.522000,-0.0413,0.9760,0.2011,0.997
0.532000,-0.0432,0.9761,0.2025,0.998
0.542000,-0.0432,0.9770,0.2041,0.999
0.554000,-0.0437,0.9773,0.2069,1.000
0.562000,-0.0439,0.9770,0.2055,0.999
0.572000,-0.0431,0.9754,0.1972,0.996
0.584000,-0.0435,0.9755,0.1881,0.994
0.607000,-0.0445,0.9786,0.1843,0.997
0.610000,-0.0443,0.9799,0.1857,0.998
0.613000,-0.0410,0.9803,0.1917,1.000
0.632000,-0.0343,0.9799,0.2027,1.001
0.636000,-0.0265,0.9798,0.2172,1.004
0.641000,-0.0265,0.9798,0.2292,1.007
0.653000,-0.0182,0.9791,0.2315,1.006
0.661000,-0.0182,0.9777,0.2315,1.005
0.671000,-0.0192,0.9761,0.2262,1.002
0.682000,-0.0246,0.9753,0.2080,0.998
0.696000,-0.0246,0.9751,0.2080,0.997
0.711000,-0.0252,0.9745,0.1983,0.995
0.713000,-0.0264,0.9755,0.1921,0.995
0.722000,-0.0242,0.9733,0.1921,0.992
0.732000,-0.0189,0.9717,0.1968,0.992
0.741000,-0.0134,0.9686,0.2030,0.990
0.753000,-0.0112,0.9657,0.2051,0.987
0.762000,-0.0115,0.9653,0.2040,0.987
0.772000,-0.0133,0.9666,0.2002,0.987
0.782000,-0.0167,0.9686,0.1931,0.988
0.794000,-0.0208,0.9703,0.1851,0.988
0.820000,-0.0249,0.9737,0.1794,0.990
0.822000,-0.0263,0.9761,0.1807,0.993
0.823000,-0.0235,0.9769,0.1873,0.995
0.832000,-0.0199,0.9743,0.1990,0.995
0.843000,-0.0183,0.9712,0.2083,0.993
0.857000,-0.0200,0.9701,0.2074,0.992
0.863000,-0.0224,0.9692,0.1994,0.990
0.874000,-0.0263,0.9715,0.1936,0.991
0.882000,-0.0276,0.9733,0.1874,0.992
0.894000,-0.0268,0.9743,0.1807,0.991
0.904000,-0.0260,0.9753,0.1799,0.992
0.945000,-0.0244,0.9744,0.1834,0.992
0.951000,-0.0182,0.9725,0.1873,0.990
0.953000,-0.0126,0.9710,0.1897,0.989
0.955000,-0.0144,0.9690,0.1873,0.987
0.957000,-0.0213,0.9695,0.1829,0.987
0.975000,-0.0275,0.9717,0.1785,0.988
0.979000,-0.0298,0.9749,0.1758,0.991
0.982000,-0.0276,0.9759,0.1780,0.992
0.996000,-0.0225,0.9755,0.1818,0.993
1.012000,-0.0177,0.9714,0.1804,0.988
1.015000,-0.0136,0.9654,0.1735,0.981
1.031000,-0.0094,0.9618,0.1647,0.976
1.034000,-0.0077,0.9599,0.1555,0.972
1.041000,-0.0094,0.9599,0.1512,0.972
1.053000,-0.0148,0.9628,0.1500,0.975
1.062000,-0.0210,0.9683,0.1559,0.981
1.072000,-0.0272,0.9731,0.1671,0.988
1.081000,-0.0324,0.9767,0.1788,0.994
1.093000,-0.0359,0.9769,0.1860,0.995
1.107000,-0.0357,0.9719,0.1824,0.989
1.111000,-0.0353,0.9688,0.1691,0.984
1.122000,-0.0419,0.9686,0.1521,0.981
1.132000,-0.0520,0.9723,0.1416,0.984
1.141000,-0.0558,0.9769,0.1395,0.988
1.152000,-0.0551,0.9824,0.1461,0.995
1.162000,-0.0562,0.9888,0.1619,1.004
1.172000,-0.0555,0.9927,0.1882,1.012
1.181000,-0.0566,0.9957,0.2154,1.020
1.193000,-0.0566,0.9918,0.2277,1.019
1.210000,-0.0561,0.9865,0.2122,1.011
1.212000,-0.0512,0.9846,0.1908,1.004
1.223000,-0.0435,0.9820,0.1608,0.996
1.232000,-0.0368,0.9814,0.1320,0.991
1.241000,-0.0374,0.9819,0.1215,0.990
1.255000,-0.0452,0.9882,0.1270,0.997
1.262000,-0.0570,0.9965,0.1366,1.007
1.272000,-0.0680,1.0025,0.1487,1.016
1.281000,-0.0724,1.0032,0.1571,1.018
1.294000,-0.0536,0.9930,0.1654,1.008
1.318000,-0.0473,0.9809,0.1854,0.999
1.320000,-0.0370,0.9742,0.1972,0.995
1.323000,-0.0228,0.9726,0.1895,0.991
1.332000,-0.0269,0.9704,0.1873,0.989
1.341000,-0.0275,0.9776,0.1595,0.991
1.352000,-0.0375,0.9808,0.1323,0.990
1.361000,-0.0463,0.9802,0.1179,0.988
1.373000,-0.0496,0.9797,0.1240,0.989
1.382000,-0.0452,0.9775,0.1338,0.988
1.401000,-0.0370,0.9773,0.1242,0.986
1.403000,-0.0291,0.9783,0.1143,0.985
1.412000,-0.0191,0.9751,0.1080,0.981
1.431000,-0.0110,0.9723,0.0884,0.976
1.446000,-0.0154,0.9692,0.0695,0.972
1.447000,-0.0227,0.9716,0.0628,0.974
1.456000,-0.0246,0.9770,0.0754,0.980
1.463000,-0.0330,0.9808,0.1025,0.987
1.474000,-0.0395,0.9846,0.1309,0.994
1.483000,-0.0423,0.9854,0.1538,0.998
1.498000,-0.0396,0.9868,0.1551,1.000
1.502000,-0.0365,0.9881,0.1371,0.998
1.512000,-0.0349,0.9901,0.1160,0.997
1.521000,-0.0335,0.9907,0.1035,0.997
1.532000,-0.0298,0.9909,0.1046,0.997
1.541000,-0.0259,0.9893,0.1173,0.997
1.551000,-0.0272,0.9890,0.1353,0.999
1.562000,-0.0374,0.9891,0.1523,1.001
1.572000,-0.0406,0.9901,0.1683,1.005
1.595000,-0.0408,0.9920,0.1830,1.010
1.596000,-0.0379,0.9955,0.1976,1.016
1.615000,-0.0164,0.9925,0.1920,1.011
1.617000,0.0011,0.9902,0.1642,1.004
1.621000,0.0120,0.9920,0.1253,1.000
1.633000,0.0237,0.9909,0.0947,0.996
1.642000,0.0447,0.9955,0.0627,0.999
1.652000,0.0526,0.9991,0.0487,1.002
1.662000,0.0462,0.9996,0.0597,1.002
1.671000,0.0242,1.0003,0.0944,1.005
1.691000,0.0043,0.9980,0.1298,1.006
1.693000,-0.0082,0.9937,0.1491,1.005
1.707000,-0.0048,0.9918,0.1487,1.003
1.712000,0.0082,0.9903,0.1395,1.000
1.721000,0.0203,0.9875,0.1287,0.996
1.733000,0.0235,0.9825,0.1132,0.989
1.742000,0.0193,0.9766,0.0950,0.981
1.751000,0.0132,0.9720,0.0869,0.976
1.762000,0.0050,0.9671,0.0916,0.971
1.771000,-0.0100,0.9629,0.1070,0.969
1.794000,-0.0300,0.9595,0.1349,0.969
1.795000,-0.0462,0.9566,0.1709,0.973
1.814000,-0.0462,0.9566,0.1985,0.978
1.816000,-0.0869,0.9528,0.2061,0.979
1.822000,-0.0646,0.9491,0.2061,0.973
1.833000,-0.0699,0.9479,0.1831,0.968
1.841000,-0.0633,0.9477,0.1831,0.967
1.852000,-0.0491,0.9491,0.1564,0.963
1.862000,-0.0363,0.9515,0.1274,0.961
1.871000,-0.0275,0.9546,0.1085,0.961
1.898000,-0.0199,0.9588,0.1051,0.965
1.899000,-0.0170,0.9643,0.1119,0.971
1.916000,-0.0228,0.9697,0.1251,0.978
1.917000,-0.0349,0.9727,0.1430,0.984
1.933000,-0.0484,0.9751,0.1625,0.990
1.936000,-0.0517,0.9778,0.1769,0.995
1.952000,-0.0418,0.9802,0.1791,0.997
1.953000,-0.0257,0.9830,0.1699,0.998
1.966000,-0.0122,0.9859,0.1576,0.998
1.982000,-0.0055,0.9891,0.1504,1.000
1.984000,-0.0059,0.9903,0.1513,1.002
1.999000,-0.0147,0.9908,0.1589,1.004
2.002000,-0.0286,0.9898,0.1677,1.004
2.016000,-0.0413,0.9901,0.1772,1.007
2.032000,-0.0485,0.9902,0.1879,1.009
2.034000,-0.0476,0.9890,0.1884,1.008
2.049000,-0.0442,0.9880,0.1808,1.005
2.065000,-0.0374,0.9865,0.1711,1.002
2.067000,-0.0296,0.9849,0.1603,0.998
2.082000,-0.0277,0.9848,0.1493,0.996
2.084000,-0.0341,0.9864,0.1446,0.998
2.099000,-0.0437,0.9865,0.1487,0.999
2.117000,-0.0548,0.9869,0.1588,1.001
2.119000,-0.0641,0.9883,0.1688,1.005
2.132000,-0.0683,0.9897,0.1775,1.008
2.134000,-0.0672,0.9894,0.1842,1.009
2.149000,-0.0616,0.9885,0.1818,1.007
2.151000,-0.0506,0.9880,0.1700,1.004
2.161000,-0.0393,0.9886,0.1578,1.002
2.171000,-0.0336,0.9881,0.1500,1.000
2.194000,-0.0366,0.9857,0.1488,0.997
2.196000,-0.0440,0.9832,0.1545,0.996
2.208000,-0.0529,0.9816,0.1634,0.997
2.212000,-0.0618,0.9806,0.1730,0.998
2.221000,-0.0655,0.9795,0.1792,0.998
2.233000,-0.0669,0.9805,0.1814,0.999
2.242000,-0.0651,0.9802,0.1814,0.999
2.252000,-0.0614,0.9787,0.1764,0.996
2.262000,-0.0564,0.9775,0.1670,0.993
2.271000,-0.0547,0.9753,0.1543,0.989
2.298000,-0.0548,0.9759,0.1487,0.989
2.300000,-0.0526,0.9775,0.1561,0.991
2.303000,-0.0495,0.9795,0.1561,0.993
2.312000,-0.0476,0.9820,0.1637,0.997
2.323000,-0.0487,0.9836,0.1694,0.999
2.333000,-0.0501,0.9838,0.1692,1.000
2.341000,-0.0490,0.9833,0.1612,0.998
2.352000,-0.0473,0.9832,0.1515,0.996
2.362000,-0.0475,0.9819,0.1474,0.994
2.374000,-0.0506,0.9808,0.1488,0.993
2.403000,-0.0545,0.9793,0.1567,0.993
2.405000,-0.0563,0.9775,0.1680,0.993
2.406000,-0.0561,0.9760,0.1757,0.993
2.411000,-0.0528,0.9749,0.1746,0.992
2.428000,-0.0478,0.9748,0.1656,0.990
2.445000,-0.0445,0.9759,0.1546,0.989
2.447000,-0.0441,0.9776,0.1476,0.990
2.452000,-0.0462,0.9791,0.1454,0.991
2.461000,-0.0490,0.9797,0.1477,0.992
2.472000,-0.0478,0.9816,0.1510,0.994
2.495000,-0.0443,0.9835,0.1532,0.996
2.497000,-0.0423,0.9848,0.1556,0.998
2.509000,-0.0412,0.9853,0.1611,0.999
2.511000,-0.0386,0.9871,0.1700,1.002
2.522000,-0.0320,0.9879,0.1804,1.005
2.533000,-0.0232,0.9880,0.1858,1.006
2.541000,-0.0151,0.9888,0.1821,1.006
2.551000,-0.0097,0.9887,0.1737,1.004
2.561000,-0.0076,0.9874,0.1645,1.001
2.571000,-0.0071,0.9863,0.1577,0.999
2.595000,-0.0109,0.9844,0.1538,0.996
2.597000,-0.0197,0.9825,0.1488,0.994
2.601000,-0.0297,0.9817,0.1462,0.993
2.611000,-0.0380,0.9811,0.1479,0.993
2.622000,-0.0420,0.9808,0.1515,0.993
2.633000,-0.0434,0.9805,0.1554,0.994
2.641000,-0.0440,0.9795,0.1598,0.993
2.652000,-0.0430,0.9788,0.1617,0.993
2.662000,-0.0413,0.9777,0.1612,0.992
2.671000,-0.0386,0.9765,0.1604,0.990
2.683000,-0.0365,0.9756,0.1577,0.989
2.692000,-0.0344,0.9745,0.1542,0.987
2.716000,-0.0315,0.9745,0.1518,0.987
2.718000,-0.0299,0.9747,0.1522,0.987
2.722000,-0.0319,0.9739,0.1557,0.987
2.739000,-0.0359,0.9729,0.1603,0.987
2.742000,-0.0410,0.9722,0.1631,0.987
2.752000,-0.0468,0.9722,0.1653,0.987
2.761000,-0.0503,0.9715,0.1684,0.987
2.771000,-0.0474,0.9717,0.1715,0.988
2.783000,-0.0435,0.9717,0.1713,0.988
2.791000,-0.0388,0.9714,0.1665,0.986
2.811000,-0.0348,0.9715,0.1599,0.985
2.812000,-0.0344,0.9716,0.1548,0.984
2.829000,-0.0354,0.9710,0.1532,0.984
2.832000,-0.0380,0.9705,0.1567,0.984
2.841000,-0.0417,0.9705,0.1643,0.985
2.851000,-0.0437,0.9703,0.1720,0.986
2.861000,-0.0415,0.9706,0.1733,0.987
2.871000,-0.0365,0.9716,0.1673,0.987
2.882000,-0.0338,0.9734,0.1564,0.986
2.891000,-0.0320,0.9753,0.1455,0.987
2.910000,-0.0338,0.9762,0.1397,0.987
2.913000,-0.0352,0.9769,0.1390,0.987
2.922000,-0.0357,0.9772,0.1429,0.988
2.931000,-0.0365,0.9772,0.1516,0.990
2.941000,-0.0376,0.9788,0.1623,0.993
2.951000,-0.0380,0.9788,0.1678,0.994
2.961000,-0.0380,0.9788,0.1655,0.993
2.971000,-0.0362,0.9800,0.1655,0.995
2.981000,-0.0357,0.9825,0.1612,0.996
2.992000,-0.0342,0.9839,0.1597,0.997
3.009000,-0.0327,0.9844,0.1597,0.998
3.012000,-0.0297,0.9839,0.1611,0.997
3.033000,-0.0277,0.9830,0.1637,0.997
3.045000,-0.0296,0.9814,0.1630,0.995
3.053000,-0.0344,0.9802,0.1620,0.994
3.055000,-0.0370,0.9793,0.1644,0.994
3.064000,-0.0376,0.9797,0.1667,0.994
3.072000,-0.0385,0.9802,0.1672,0.995
3.085000,-0.0391,0.9805,0.1682,0.996
3.092000,-0.0364,0.9804,0.1681,0.995
3.102000,-0.0316,0.9811,0.1643,0.995
3.112000,-0.0315,0.9802,0.1579,0.993
3.139000,-0.0376,0.9793,0.1540,0.992
3.141000,-0.0430,0.9791,0.1556,0.992
3.145000,-0.0446,0.9786,0.1608,0.993
3.184000,-0.0467,0.9795,0.1665,0.995
3.189000,-0.0487,0.9792,0.1708,0.995
3.190000,-0.0500,0.9783,0.1730,0.995
3.191000,-0.0503,0.9783,0.1743,0.995
3.192000,-0.0485,0.9776,0.1722,0.994
3.206000,-0.0439,0.9771,0.1684,0.992
3.235000,-0.0398,0.9773,0.1666,0.992
3.238000,-0.0388,0.9770,0.1655,0.992
3.239000,-0.0393,0.9770,0.1655,0.992
3.242000,-0.0404,0.9769,0.1669,0.992
3.252000,-0.0424,0.9769,0.1666,0.992
3.263000,-0.0441,0.9771,0.1655,0.992
3.271000,-0.0448,0.9773,0.1663,0.992
3.282000,-0.0417,0.9775,0.1677,0.993
3.292000,-0.0379,0.9771,0.1692,0.992
3.308000,-0.0357,0.9770,0.1692,0.992
3.321000,-0.0342,0.9766,0.1677,0.992
3.322000,-0.0341,0.9770,0.1661,0.992
3.332000,-0.0362,0.9770,0.1659,0.992
3.342000,-0.0397,0.9762,0.1691,0.992
3.351000,-0.0430,0.9754,0.1732,0.992
3.363000,-0.0448,0.9744,0.1763,0.991
3.371000,-0.0458,0.9749,0.1777,0.992
3.382000,-0.0440,0.9761,0.1771,0.993
3.392000,-0.0387,0.9778,0.1759,0.994
3.410000,-0.0333,0.9788,0.1726,0.994
3.413000,-0.0316,0.9794,0.1681,0.994
3.422000,-0.0327,0.9792,0.1649,0.994
3.432000,-0.0338,0.9791,0.1654,0.994
3.442000,-0.0359,0.9788,0.1686,0.994
3.451000,-0.0398,0.9792,0.1725,0.995
3.464000,-0.0415,0.9784,0.1747,0.995
3.472000,-0.0429,0.9784,0.1774,0.995
3.482000,-0.0413,0.9783,0.1781,0.995
3.492000,-0.0327,0.9775,0.1755,0.994
3.509000,-0.0241,0.9782,0.1746,0.994
3.511000,-0.0194,0.9797,0.1769,0.996
3.521000,-0.0200,0.9798,0.1801,0.996
3.532000,-0.0260,0.9783,0.1805,0.995
3.542000,-0.0321,0.9775,0.1809,0.995
3.551000,-0.0344,0.9782,0.1813,0.995
3.563000,-0.0355,0.9792,0.1790,0.996
3.572000,-0.0355,0.9795,0.1730,0.995
3.582000,-0.0358,0.9799,0.1678,0.995
3.592000,-0.0362,0.9799,0.1638,0.994
3.610000,-0.0362,0.9786,0.1614,0.992
3.612000,-0.0362,0.9776,0.1582,0.991
3.621000,-0.0374,0.9764,0.1556,0.989
3.633000,-0.0371,0.9761,0.1554,0.989
3.641000,-0.0371,0.9760,0.1556,0.989
3.651000,-0.0381,0.9760,0.1564,0.989
3.663000,-0.0374,0.9756,0.1565,0.989
3.672000,-0.0346,0.9756,0.1559,0.989
3.682000,-0.0335,0.9764,0.1533,0.989
3.692000,-0.0351,0.9762,0.1515,0.989
3.707000,-0.0376,0.9758,0.1528,0.988
3.728000,-0.0406,0.9755,0.1557,0.989
3.730000,-0.0408,0.9749,0.1573,0.988
3.732000,-0.0365,0.9753,0.1590,0.989
3.743000,-0.0329,0.9770,0.1589,0.990
3.755000,-0.0299,0.9781,0.1559,0.991
3.767000,-0.0277,0.9791,0.1527,0.991
3.772000,-0.0279,0.9799,0.1517,0.992
3.785000,-0.0297,0.9802,0.1535,0.993
3.793000,-0.0326,0.9803,0.1597,0.994
3.803000,-0.0365,0.9804,0.1659,0.995
3.846000,-0.0382,0.9808,0.1684,0.996
3.848000,-0.0359,0.9815,0.1669,0.996
3.850000,-0.0318,0.9816,0.1609,0.995
3.851000,-0.0298,0.9824,0.1538,0.995
3.853000,-0.0298,0.9833,0.1493,0.995
3.874000,-0.0287,0.9825,0.1494,0.994
3.881000,-0.0272,0.9824,0.1515,0.994
3.884000,-0.0277,0.9820,0.1535,0.994
3.892000,-0.0287,0.9816,0.1551,0.994
3.901000,-0.0305,0.9811,0.1565,0.994
3.925000,-0.0310,0.9808,0.1575,0.994
3.927000,-0.0296,0.9806,0.1570,0.994
3.931000,-0.0281,0.9810,0.1544,0.993
3.942000,-0.0302,0.9811,0.1522,0.993
3.952000,-0.0321,0.9814,0.1538,0.994
3.962000,-0.0322,0.9809,0.1559,0.994
3.972000,-0.0340,0.9804,0.1570,0.993
3.982000,-0.0366,0.9802,0.1571,0.993
3.992000,-0.0365,0.9802,0.1559,0.993
4.007000,-0.0368,0.9802,0.1556,0.993
4.023000,-0.0346,0.9799,0.1565,0.993
4.025000,-0.0309,0.9798,0.1562,0.993
4.032000,-0.0283,0.9797,0.1520,0.992
4.042000,-0.0272,0.9792,0.1439,0.990
4.051000,-0.0290,0.9789,0.1379,0.989
4.062000,-0.0336,0.9787,0.1369,0.989
4.071000,-0.0371,0.9783,0.1404,0.989
4.081000,-0.0376,0.9781,0.1449,0.989
4.092000,-0.0382,0.9788,0.1489,0.991
4.109000,-0.0412,0.9780,0.1509,0.990
4.113000,-0.0412,0.9780,0.1509,0.990
4.121000,-0.0424,0.9764,0.1511,0.989
4.135000,-0.0404,0.9759,0.1501,0.988
4.142000,-0.0368,0.9756,0.1476,0.987
4.155000,-0.0360,0.9775,0.1423,0.988
4.166000,-0.0360,0.9775,0.1423,0.988
4.172000,-0.0395,0.9786,0.1441,0.990
4.183000,-0.0408,0.9788,0.1510,0.991
4.192000,-0.0402,0.9782,0.1572,0.992
4.202000,-0.0392,0.9776,0.1595,0.991
4.241000,-0.0363,0.9772,0.1576,0.991
4.243000,-0.0326,0.9777,0.1532,0.990
4.245000,-0.0313,0.9783,0.1496,0.990
4.246000,-0.0327,0.9787,0.1478,0.990
4.252000,-0.0362,0.9786,0.1507,0.991
4.265000,-0.0392,0.9776,0.1577,0.991
4.272000,-0.0403,0.9771,0.1633,0.991
4.282000,-0.0326,0.9771,0.1579,0.990
4.291000,-0.0226,0.9772,0.1448,0.988
4.301000,-0.0160,0.9793,0.1333,0.988
4.326000,-0.0125,0.9804,0.1298,0.989
4.327000,-0.0138,0.9814,0.1336,0.991
4.331000,-0.0175,0.9817,0.1407,0.992
4.341000,-0.0224,0.9816,0.1460,0.993
4.352000,-0.0261,0.9814,0.1496,0.993
4.362000,-0.0268,0.9810,0.1506,0.993
4.372000,-0.0261,0.9815,0.1494,0.993
4.382000,-0.0239,0.9814,0.1466,0.993
4.392000,-0.0221,0.9811,0.1456,0.992
4.401000,-0.0188,0.9816,0.1483,0.993
4.438000,-0.0167,0.9816,0.1490,0.993
4.440000,-0.0161,0.9820,0.1451,0.993
4.441000,-0.0161,0.9827,0.1391,0.993
4.442000,-0.0171,0.9830,0.1339,0.992
4.474000,-0.0205,0.9826,0.1314,0.992
4.484000,-0.0254,0.9820,0.1329,0.991
4.489000,-0.0287,0.9820,0.1375,0.992
4.490000,-0.0288,0.9825,0.1444,0.993
4.492000,-0.0252,0.9831,0.1480,0.994
4.504000,-0.0210,0.9838,0.1478,0.995
4.532000,-0.0198,0.9847,0.1461,0.996
4.536000,-0.0205,0.9850,0.1461,0.996
4.536000,-0.0233,0.9854,0.1480,0.997
4.542000,-0.0264,0.9855,0.1509,0.997
4.552000,-0.0285,0.9861,0.1527,0.998
4.561000,-0.0264,0.9861,0.1509,0.998
4.571000,-0.0230,0.9860,0.1452,0.997
4.581000,-0.0208,0.9855,0.1405,0.996
4.591000,-0.0221,0.9852,0.1391,0.995
4.601000,-0.0252,0.9842,0.1426,0.995
4.623000,-0.0275,0.9836,0.1493,0.995
4.624000,-0.0304,0.9828,0.1550,0.995
4.641000,-0.0314,0.9825,0.1571,0.995
4.644000,-0.0304,0.9824,0.1548,0.995
4.652000,-0.0288,0.9824,0.1501,0.994
4.674000,-0.0286,0.9817,0.1439,0.993
4.678000,-0.0292,0.9814,0.1384,0.992
4.681000,-0.0288,0.9813,0.1367,0.991
4.692000,-0.0276,0.9816,0.1386,0.992
4.705000,-0.0272,0.9819,0.1430,0.993
4.714000,-0.0277,0.9825,0.1476,0.994
4.722000,-0.0279,0.9830,0.1505,0.995
4.761000,-0.0285,0.9833,0.1509,0.995
4.767000,-0.0282,0.9842,0.1498,0.996
4.768000,-0.0246,0.9850,0.1471,0.996
4.768000,-0.0203,0.9848,0.1404,0.995
4.774000,-0.0182,0.9854,0.1338,0.995
4.788000,-0.0194,0.9855,0.1314,0.994
4.793000,-0.0204,0.9852,0.1345,0.995
4.802000,-0.0230,0.9853,0.1386,0.995
4.824000,-0.0264,0.9848,0.1411,0.995
4.829000,-0.0285,0.9839,0.1413,0.994
4.832000,-0.0286,0.9836,0.1404,0.994
4.845000,-0.0263,0.9838,0.1410,0.994
4.851000,-0.0241,0.9833,0.1405,0.994
4.862000,-0.0249,0.9828,0.1388,0.993
4.872000,-0.0263,0.9827,0.1391,0.993
4.881000,-0.0288,0.9821,0.1413,0.993
4.893000,-0.0329,0.9817,0.1435,0.993
4.901000,-0.0366,0.9813,0.1444,0.992
4.912000,-0.0380,0.9806,0.1449,0.992
4.922000,-0.0369,0.9802,0.1461,0.992
4.945000,-0.0348,0.9799,0.1465,0.991
4.950000,-0.0305,0.9798,0.1438,0.991
4.951000,-0.0249,0.9804,0.1394,0.991
4.965000,-0.0227,0.9808,0.1373,0.991
4.972000,-0.0239,0.9815,0.1361,0.991
4.981000,-0.0261,0.9822,0.1377,0.992
4.994000,-0.0277,0.9828,0.1406,0.993
5.002000,-0.0288,0.9822,0.1433,0.993
5.012000,-0.0299,0.9814,0.1439,0.992
5.022000,-0.0313,0.9802,0.1438,0.991
5.041000,-0.0288,0.9792,0.1401,0.990
5.043000,-0.0250,0.9792,0.1334,0.989
5.051000,-0.0225,0.9795,0.1275,0.988
5.062000,-0.0214,0.9800,0.1292,0.989
5.072000,-0.0230,0.9813,0.1350,0.991
5.081000,-0.0271,0.9811,0.1384,0.991
5.096000,-0.0338,0.9802,0.1410,0.991
5.102000,-0.0373,0.9789,0.1423,0.990
5.112000,-0.0375,0.9781,0.1418,0.989
5.121000,-0.0358,0.9780,0.1389,0.988
5.138000,-0.0307,0.9782,0.1342,0.988
5.158000,-0.0254,0.9786,0.1292,0.987
5.161000,-0.0236,0.9802,0.1266,0.989
5.163000,-0.0235,0.9808,0.1284,0.989
5.172000,-0.0259,0.9813,0.1341,0.991
5.181000,-0.0283,0.9819,0.1408,0.992
5.192000,-0.0298,0.9817,0.1472,0.993
5.202000,-0.0308,0.9819,0.1502,0.994
5.212000,-0.0309,0.9821,0.1493,0.994
5.222000,-0.0277,0.9830,0.1477,0.994
5.251000,-0.0227,0.9836,0.1462,0.995
5.255000,-0.0189,0.9839,0.1435,0.995
5.258000,-0.0206,0.9843,0.1408,0.995
5.277000,-0.0249,0.9843,0.1408,0.995
5.286000,-0.0249,0.9839,0.1430,0.995
5.288000,-0.0285,0.9847,0.1472,0.996
5.296000,-0.0285,0.9847,0.1472,0.996
5.302000,-0.0299,0.9848,0.1507,0.997
5.312000,-0.0325,0.9842,0.1520,0.996
5.322000,-0.0322,0.9838,0.1506,0.996
5.340000,-0.0271,0.9832,0.1485,0.995
5.342000,-0.0203,0.9827,0.1449,0.994
5.351000,-0.0175,0.9822,0.1389,0.992
5.362000,-0.0195,0.9821,0.1338,0.991
5.371000,-0.0215,0.9831,0.1320,0.992
5.381000,-0.0217,0.9837,0.1338,0.993
5.396000,-0.0221,0.9838,0.1352,0.993
5.402000,-0.0250,0.9832,0.1367,0.993
5.411000,-0.0276,0.9821,0.1375,0.992
5.421000,-0.0281,0.9821,0.1389,0.992
5.439000,-0.0250,0.9813,0.1397,0.991
5.443000,-0.0216,0.9806,0.1378,0.991
5.452000,-0.0194,0.9809,0.1323,0.990
5.461000,-0.0181,0.9813,0.1279,0.990
5.472000,-0.0189,0.9816,0.1266,0.990
5.481000,-0.0221,0.9811,0.1281,0.990
5.493000,-0.0258,0.9794,0.1330,0.989
5.501000,-0.0290,0.9787,0.1391,0.989
5.511000,-0.0316,0.9787,0.1455,0.990
5.521000,-0.0314,0.9792,0.1513,0.991
5.538000,-0.0294,0.9786,0.1565,0.991
5.542000,-0.0296,0.9775,0.1590,0.991
5.551000,-0.0319,0.9767,0.1588,0.990
5.562000,-0.0349,0.9766,0.1599,0.990
5.572000,-0.0390,0.9770,0.1626,0.991
